director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,movie_imdb_link
James Cameron,CCH Pounder,Joel David Moore,Wes Studi,Action Adventure Fantasy Sci-Fi,avatar,http://www.imdb.com/title/tt0499549/?ref_=fn_tt_tt_1
Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,Action Adventure Fantasy,pirates of the caribbean: at world's end,http://www.imdb.com/title/tt0449088/?ref_=fn_tt_tt_1
Sam Mendes,Christoph Waltz,Rory Kinnear,Stephanie Sigman,Action Adventure Thriller,spectre,http://www.imdb.com/title/tt2379713/?ref_=fn_tt_tt_1
Christopher Nolan,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,Action Thriller,the dark knight rises,http://www.imdb.com/title/tt1345836/?ref_=fn_tt_tt_1
Doug Walker,Doug Walker,Rob Walker,unknown,Documentary,star wars: episode vii - the force awakens            ,http://www.imdb.com/title/tt5289954/?ref_=fn_tt_tt_1
Andrew Stanton,Daryl Sabara,Samantha Morton,Polly Walker,Action Adventure Sci-Fi,john carter,http://www.imdb.com/title/tt0401729/?ref_=fn_tt_tt_1
Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,Action Adventure Romance,spider-man 3,http://www.imdb.com/title/tt0413300/?ref_=fn_tt_tt_1
Nathan Greno,Brad Garrett,Donna Murphy,M.C. Gainey,Adventure Animation Comedy Family Fantasy Musical Romance,tangled,http://www.imdb.com/title/tt0398286/?ref_=fn_tt_tt_1
Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Action Adventure Sci-Fi,avengers: age of ultron,http://www.imdb.com/title/tt2395427/?ref_=fn_tt_tt_1
David Yates,Alan Rickman,Daniel Radcliffe,Rupert Grint,Adventure Family Fantasy Mystery,harry potter and the half-blood prince,http://www.imdb.com/title/tt0417741/?ref_=fn_tt_tt_1
Zack Snyder,Henry Cavill,Lauren Cohan,Alan D. Purwin,Action Adventure Sci-Fi,batman v superman: dawn of justice,http://www.imdb.com/title/tt2975590/?ref_=fn_tt_tt_1
Bryan Singer,Kevin Spacey,Marlon Brando,Frank Langella,Action Adventure Sci-Fi,superman returns,http://www.imdb.com/title/tt0348150/?ref_=fn_tt_tt_1
Marc Forster,Giancarlo Giannini,Mathieu Amalric,Rory Kinnear,Action Adventure,quantum of solace,http://www.imdb.com/title/tt0830515/?ref_=fn_tt_tt_1
Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,Action Adventure Fantasy,pirates of the caribbean: dead man's chest,http://www.imdb.com/title/tt0383574/?ref_=fn_tt_tt_1
